,support,itemsets
373,0.011378848728246318,"['battery', 'phone', 'speaker']"
67,0.011187607573149742,"['battery', 'speaker', 'quality']"
165,0.011187607573149742,"['battery', 'month']"
59,0.011091986995601454,['charger']
221,0.011091986995601454,"['life', 'day', 'quality']"
9,0.010996366418053165,"['battery', 'quality']"
129,0.010996366418053165,"['battery', 'product']"
462,0.010996366418053165,"['life', 'charge', 'camera']"
457,0.010900745840504877,"['battery', 'sound', 'quality']"
229,0.010805125262956588,['nothe']
127,0.0107095046854083,"['life', 'battery', 'phone']"
177,0.010613884107860011,"['screen', 'camera']"
267,0.010613884107860011,"['oneplu', 'device']"
476,0.010613884107860011,['year']
262,0.010518263530311723,"['phone', 'value']"
143,0.010518263530311723,"['sound', 'performance']"
55,0.010518263530311723,['day']
145,0.010518263530311723,"['screen', 'quality']"
162,0.010422642952763435,"['sound', 'day']"
313,0.010327022375215147,['pie']
367,0.010327022375215147,"['iphone', 'camera']"
56,0.010327022375215147,"['battery', 'phone', 'month']"
95,0.010327022375215147,"['phone', 'feature']"
160,0.010231401797666857,"['life', 'everythe']"
451,0.010231401797666857,"['dash', 'charger']"
454,0.010231401797666857,"['spee', 'quality']"
391,0.010231401797666857,['update']
327,0.010231401797666857,"['battery', 'phone', 'display']"
489,0.01013578122011857,['month']
116,0.01013578122011857,"['call', 'phone']"
346,0.01013578122011857,['headphone']
361,0.01013578122011857,"['life', 'phone', 'price']"
208,0.010040160642570281,"['time', 'day']"
167,0.010040160642570281,['app']
142,0.010040160642570281,"['range', 'price']"
248,0.009944540065021993,"['life', 'battery', 'display']"
359,0.009944540065021993,['camera']
1,0.009944540065021993,"['battery', 'sound', 'phone']"
216,0.009944540065021993,"['speaker', 'camera']"
253,0.009848919487473705,['backup']
436,0.009848919487473705,"['processor', 'camera']"
158,0.009848919487473705,"['camera', 'spee', 'quality']"
35,0.009753298909925417,"['life', 'battery', 'camera']"
103,0.009753298909925417,"['phone', 'screen']"
14,0.009753298909925417,['pro']
479,0.009753298909925417,"['bite', 'camera']"
94,0.009657678332377127,['fan']
381,0.009657678332377127,['time']
46,0.009562057754828839,['face']
187,0.00946643717728055,"['life', 'update']"
330,0.00946643717728055,"['life', 'picture', 'quality']"
99,0.00946643717728055,"['picture', 'day']"
416,0.009370816599732263,"['month', 'camera']"
299,0.009370816599732263,"['issue', 'camera']"
10,0.009275196022183975,"['battery', 'sound', 'day']"
91,0.009275196022183975,['night']
419,0.009275196022183975,"['app', 'camera']"
459,0.009179575444635685,"['oneplu', 'battery', 'phone']"
22,0.009179575444635685,"['month', 'quality']"
125,0.009083954867087397,['touch']
184,0.009083954867087397,"['issue', 'quality']"
394,0.009083954867087397,"['battery', 'charge', 'quality']"
86,0.009083954867087397,"['life', 'battery', 'day']"
362,0.009083954867087397,"['game', 'camera']"
118,0.008988334289539109,"['phone', 'bite']"
45,0.008988334289539109,"['battery', 'bite']"
166,0.00889271371199082,"['phone', 'video']"
140,0.00889271371199082,"['life', 'oneplu']"
150,0.00889271371199082,"['battery', 'update', 'camera']"
440,0.00889271371199082,"['spee', 'phone', 'camera']"
79,0.008797093134442532,['beast']
82,0.008701472556894244,"['phone', 'speaker']"
353,0.008701472556894244,"['camera', 'phone', 'back']"
72,0.008605851979345954,"['spee', 'performance']"
452,0.008605851979345954,['battery']
206,0.008605851979345954,['look']
97,0.008605851979345954,"['money', 'value']"
29,0.008605851979345954,"['battery', 'charger']"
126,0.008510231401797666,"['camera', 'phone', 'feature']"
40,0.008510231401797666,['oxygen']
44,0.008414610824249378,['replacement']
348,0.008414610824249378,"['phone', 'performance', 'camera']"
89,0.008414610824249378,['usage']
242,0.008414610824249378,"['sound', 'performance', 'quality']"
272,0.008414610824249378,"['phone', 'ram']"
325,0.00831899024670109,['work']
442,0.00831899024670109,"['sound', 'time']"
147,0.008223369669152802,"['battery', 'experience']"
379,0.008223369669152802,"['battery', 'the']"
42,0.008223369669152802,"['killer', 'flagship']"
134,0.008223369669152802,"['display', 'camera']"
370,0.008127749091604514,"['sound', 'display']"
57,0.008127749091604514,"['battery', 'picture', 'charge']"
490,0.008127749091604514,"['quality', 'feature']"
389,0.008127749091604514,"['video', 'camera']"
406,0.008032128514056224,"['battery', 'sound', 'picture']"
415,0.008032128514056224,"['phone', 'user']"
124,0.008032128514056224,"['camera', 'quality']"
52,0.008032128514056224,"['product', 'camera']"
491,0.008032128514056224,['delivery']
384,0.008032128514056224,"['sound', 'quality']"
287,0.007936507936507936,"['life', 'battery', 'picture']"
331,0.007936507936507936,"['life', 'sound']"
369,0.007840887358959648,"['picture', 'charge']"
275,0.007840887358959648,"['usage', 'camera']"
54,0.007840887358959648,"['battery', 'dash', 'charge']"
260,0.007840887358959648,"['camera', 'day', 'quality']"
344,0.007840887358959648,['fingerprint']
27,0.007840887358959648,"['phone', 'look']"
209,0.007840887358959648,"['dash', 'phone', 'camera']"
186,0.007840887358959648,['cla']
223,0.007840887358959648,['notch']
417,0.00774526678141136,"['phone', 'review']"
453,0.00774526678141136,['experience']
11,0.00774526678141136,"['life', 'camera', 'quality']"
328,0.00774526678141136,"['oneplu', 'battery']"
339,0.00774526678141136,['buy']
181,0.007649646203863071,"['battery', 'dash', 'quality']"
201,0.007649646203863071,['hour']
194,0.007649646203863071,"['price', 'camera']"
237,0.007649646203863071,['product']
360,0.007554025626314783,['quality']
466,0.007554025626314783,"['spee', 'phone']"
375,0.007554025626314783,"['phone', 'price', 'quality']"
409,0.007458405048766495,['sound']
244,0.007458405048766495,"['phone', 'price', 'camera']"
20,0.007458405048766495,"['life', 'battery', 'price']"
191,0.007362784471218206,"['battery', 'phone', 'feature']"
192,0.007362784471218206,"['charger', 'camera']"
306,0.007362784471218206,"['phone', 'plu']"
227,0.007362784471218206,"['life', 'battery', 'dash']"
450,0.007362784471218206,"['picture', 'day', 'quality']"
265,0.007362784471218206,['hand']
239,0.007362784471218206,"['life', 'picture']"
288,0.007267163893669918,['charge']
456,0.007267163893669918,"['battery', 'charge', 'day']"
224,0.007267163893669918,"['life', 'battery', 'quality']"
13,0.007267163893669918,"['battery', 'dash', 'phone']"
233,0.007267163893669918,"['life', 'price']"
170,0.007267163893669918,"['phone', 'picture']"
398,0.00717154331612163,['amazon']
214,0.00717154331612163,"['life', 'battery', 'charge']"
434,0.00717154331612163,"['life', 'battery']"
51,0.00717154331612163,"['phone', 'screen', 'camera']"
483,0.007075922738573341,['budget']
179,0.007075922738573341,"['oneplu', 'phone', 'camera']"
285,0.007075922738573341,"['camera', 'picture', 'quality']"
169,0.007075922738573341,"['battery', 'usage']"
486,0.0069803021610250525,"['battery', 'sound']"
397,0.0069803021610250525,"['game', 'phone', 'camera']"
425,0.0069803021610250525,"['battery', 'issue']"
219,0.0069803021610250525,"['oneplu', 'phone', 'quality']"
284,0.0069803021610250525,"['battery', 'phone', 'picture']"
465,0.0069803021610250525,"['battery', 'phone']"
402,0.0069803021610250525,['nan']
65,0.0069803021610250525,['case']
225,0.0068846815834767644,"['phone', 'charge', 'quality']"
388,0.0068846815834767644,['picture']
332,0.0068846815834767644,"['sound', 'picture']"
448,0.0068846815834767644,"['update', 'phone', 'camera']"
88,0.0068846815834767644,"['spee', 'phone', 'quality']"
304,0.0067890610059284755,"['phone', 'picture', 'quality']"
298,0.0067890610059284755,"['processor', 'phone']"
